brand,year,pass,total
FORD,1980,0.7647058823529411,17
FORD,1981,0.46153846153846156,13
FORD,1982,0.3793103448275862,29
FORD,1983,0.4166666666666667,24
FORD,1984,0.3181818181818182,22
FORD,1985,0.4166666666666667,24
FORD,1986,0.4375,32
FORD,1987,0.6363636363636364,22
FORD,1990,0.35294117647058826,68
FORD,1976,0.0,1
FORD,1977,0.5,2
FORD,1998,0.25634725634725636,1221
FORD,1999,0.24379811804961504,3507
FORD,2000,0.24441624365482234,7880
FORD,2001,0.2724041634932724,7878
FORD,1988,0.29411764705882354,34
FORD,1989,0.425531914893617,47
FORD,1991,0.423728813559322,59
FORD,1992,0.4318181818181818,88
FORD,1993,0.49056603773584906,53
FORD,1994,0.3090909090909091,55
FORD,1995,0.29545454545454547,88
FORD,1996,0.30952380952380953,294
FORD,1997,0.2815934065934066,728
FORD,2002,0.30978358075478446,11182
FORD,2016,0.6,15
FORD,1966,0.0,1
NISSAN,1992,0.35507246376811596,138
NISSAN,1994,0.25475285171102663,263
NISSAN,1997,0.2589712918660287,1672
NISSAN,1998,0.2535496957403651,2465
NISSAN,1991,0.30677290836653387,251
NISSAN,1995,0.24641833810888253,349
NISSAN,1996,0.2607683352735739,859
NISSAN,1999,0.2521323070522155,4807
NISSAN,2000,0.2629086288552616,8657
NISSAN,2001,0.3010814708002884,6935
NISSAN,2003,0.40558717020175894,9665
NISSAN,2002,0.34676604345629103,7916
NISSAN,2004,0.46467575142553397,10347
NISSAN,2005,0.46009429196834484,11878
NISSAN,2006,0.4828277763850589,7978
NISSAN,2007,0.536745782098942,6994
NISSAN,2008,0.5335882596114097,9676
NISSAN,2011,0.7514253135689852,1754
NISSAN,2009,0.5620953502060035,1699
NISSAN,2010,0.67830936307602,6814
NISSAN,1986,0.4375,16
NISSAN,1987,0.2,10
NISSAN,1989,0.25,24
NISSAN,1990,0.49056603773584906,53
NISSAN,2012,0.8189198144466534,6036
NISSAN,2013,0.855985598559856,1111
NISSAN,1984,0.0,2
NISSAN,2014,0.5,6
NISSAN,2015,0.7142857142857143,7
NISSAN,1985,1.0,1
NISSAN,1988,0.375,8
NISSAN,1993,0.28378378378378377,148
OPEL,2013,0.8781163434903048,722
OPEL,2000,0.2903712078387036,5307
OPEL,2001,0.3170452688347769,6119
OPEL,2002,0.3533845484852877,6899
OPEL,2003,0.35449287628720555,7089
OPEL,2004,0.3906564163217031,8455
OPEL,2005,0.40331053622757457,10089
OPEL,2006,0.40878988561107765,8305
OPEL,2007,0.49570993634099086,7226
OPEL,2008,0.5596576773808339,10049
OPEL,2009,0.6502793296089385,895
OPEL,2010,0.7251410437235543,5672
OPEL,2011,0.7652439024390244,1312
OPEL,2012,0.803088803088803,4144
OPEL,1980,0.4,5
OPEL,1982,0.5,2
OPEL,1983,0.6666666666666666,9
OPEL,1984,0.42857142857142855,14
OPEL,1986,0.5555555555555556,9
OPEL,1992,0.2631578947368421,19
OPEL,1993,0.2857142857142857,49
OPEL,1994,0.33663366336633666,101
OPEL,1995,0.30994152046783624,171
OPEL,1996,0.34345794392523366,428
OPEL,1997,0.3537170263788969,834
OPEL,1998,0.28671943711521547,1137
OPEL,1999,0.28171268507402963,2499
OPEL,1985,0.4666666666666667,15
OPEL,1987,0.42857142857142855,7
OPEL,1988,0.25,12
OPEL,1989,0.2857142857142857,7
OPEL,1990,0.15384615384615385,13
OPEL,1991,0.6363636363636364,22
OPEL,2014,0.9166666666666666,24
OPEL,2015,0.85,20
OPEL,1981,1.0,3
OPEL,2016,1.0,2
PEUGEOT,2005,0.3819737317749126,8299
PEUGEOT,2006,0.415147761458149,5651
PEUGEOT,2007,0.5183662280701754,3648
PEUGEOT,2009,0.5604089219330854,1076
PEUGEOT,1981,0.0,2
PEUGEOT,1992,0.46153846153846156,13
PEUGEOT,1993,0.2,15
PEUGEOT,1994,0.42857142857142855,42
PEUGEOT,1995,0.2830188679245283,53
PEUGEOT,1996,0.33653846153846156,104
PEUGEOT,1997,0.2966507177033493,209
PEUGEOT,1998,0.292817679558011,362
PEUGEOT,1999,0.2525987525987526,962
PEUGEOT,2000,0.2676056338028169,2201
PEUGEOT,2001,0.2460456942003515,3414
PEUGEOT,2002,0.2646341463414634,5740
PEUGEOT,2003,0.2938021454112038,6712
PEUGEOT,2008,0.5224630851398052,6366
PEUGEOT,2010,0.6249491249491249,4914
PEUGEOT,2011,0.713371266002845,1406
PEUGEOT,2012,0.7811626607043041,3578
PEUGEOT,2013,0.8424336973478939,641
PEUGEOT,1987,0.5,2
PEUGEOT,1988,0.2857142857142857,7
PEUGEOT,1989,0.47058823529411764,17
PEUGEOT,1990,0.4074074074074074,27
PEUGEOT,1991,0.3448275862068966,29
PEUGEOT,2004,0.3537952114111054,7852
PEUGEOT,2015,0.5483870967741935,31
PEUGEOT,2016,0.8,5
PEUGEOT,1983,1.0,1
PEUGEOT,1985,1.0,2
PEUGEOT,2014,0.5,36
RENAULT,1988,0.5,4
RENAULT,1982,0.0,1
RENAULT,1989,0.1111111111111111,9
RENAULT,1990,0.2,10
RENAULT,1991,0.375,8
RENAULT,1992,0.0,1
RENAULT,1993,0.5,12
RENAULT,1994,0.3125,16
RENAULT,1995,0.30303030303030304,33
RENAULT,1996,0.3181818181818182,66
RENAULT,1985,0.6,5
RENAULT,1981,1.0,3
RENAULT,1986,0.5,4
RENAULT,1987,0.5,2
RENAULT,1997,0.2850467289719626,214
RENAULT,1984,0.3333333333333333,6
RENAULT,1999,0.2712623097582811,1117
RENAULT,2006,0.33259536784741145,5872
RENAULT,2007,0.4088925259138025,3666
RENAULT,2008,0.47438226744186046,5504
RENAULT,1998,0.25071225071225073,351
RENAULT,2000,0.2628588516746411,3344
RENAULT,2001,0.2987821380243572,3695
RENAULT,2002,0.3267345399698341,5304
RENAULT,2003,0.2831693247370207,5894
RENAULT,2004,0.27062945511658815,8277
RENAULT,2005,0.31268803817823426,9639
RENAULT,2009,0.49444444444444446,900
RENAULT,2010,0.5999401555954518,10026
RENAULT,2011,0.64739336492891,2110
RENAULT,2012,0.7468971631205674,4512
RENAULT,2013,0.8269896193771626,578
RENAULT,2014,0.7731958762886598,97
RENAULT,2015,0.7592592592592593,54
RENAULT,2016,0.875,16
RENAULT,1980,0.0,1
RENAULT,1983,0.75,4
TOYOTA,2005,0.5107900644507205,27618
TOYOTA,2006,0.5542806707855251,18128
TOYOTA,2004,0.4836133536984508,22915
TOYOTA,2008,0.6483709273182957,19950
TOYOTA,2012,0.840131940626718,9095
TOYOTA,1998,0.36779607346421783,6316
TOYOTA,1999,0.39287415452033914,10497
TOYOTA,2000,0.4185187357063273,17053
TOYOTA,2001,0.44788052496605824,13258
TOYOTA,2003,0.4609044452991923,18199
TOYOTA,2010,0.7641046277665996,12425
TOYOTA,2007,0.6175536397225644,15427
TOYOTA,2009,0.6807665342369713,4279
TOYOTA,2011,0.7805383022774327,4347
TOYOTA,2013,0.8864721485411141,1885
TOYOTA,1997,0.3864657679090669,3783
TOYOTA,2002,0.4445416484409173,16003
TOYOTA,2014,0.9122807017543859,114
TOYOTA,2015,0.8943089430894309,123
TOYOTA,2016,0.8717948717948718,39
TOYOTA,1986,0.4407894736842105,152
TOYOTA,1987,0.4453125,128
TOYOTA,1991,0.36212624584717606,301
TOYOTA,1992,0.3598326359832636,478
TOYOTA,1993,0.43010752688172044,651
TOYOTA,1994,0.3639112903225806,992
TOYOTA,1995,0.38540245566166437,1466
TOYOTA,1996,0.39263803680981596,2282
TOYOTA,1982,0.42857142857142855,7
TOYOTA,1984,0.4177215189873418,79
TOYOTA,1985,0.2992125984251969,127
TOYOTA,1988,0.45794392523364486,107
TOYOTA,1989,0.3416666666666667,120
TOYOTA,1990,0.36823104693140796,277
TOYOTA,1981,0.5,6
TOYOTA,1983,0.21739130434782608,23
TOYOTA,1979,1.0,1
VOLKSWAGEN,2000,0.3006753351476666,9921
VOLKSWAGEN,2001,0.3010781430989931,11223
VOLKSWAGEN,2002,0.3110350616646219,15487
VOLKSWAGEN,2003,0.3488013292190838,16852
VOLKSWAGEN,1973,0.0,1
VOLKSWAGEN,1981,0.125,8
VOLKSWAGEN,1983,0.41025641025641024,39
VOLKSWAGEN,1998,0.27355425601039635,1539
VOLKSWAGEN,1999,0.29501267962806427,3549
VOLKSWAGEN,2004,0.3905654383735705,18888
VOLKSWAGEN,2005,0.41950683210303125,19101
VOLKSWAGEN,2006,0.43988428855541495,16593
VOLKSWAGEN,2007,0.5550269874668374,10931
VOLKSWAGEN,2008,0.6110784601821921,20418
VOLKSWAGEN,2009,0.6219431592861864,3026
VOLKSWAGEN,2010,0.7251116662881368,13209
VOLKSWAGEN,2011,0.7758423103369242,4363
VOLKSWAGEN,2012,0.827628065064336,12357
VOLKSWAGEN,2013,0.8745963401506996,1858
VOLKSWAGEN,2014,0.84,75
VOLKSWAGEN,2015,0.7142857142857143,56
VOLKSWAGEN,2016,0.9166666666666666,24
VOLKSWAGEN,1997,0.27922624053826745,1189
VOLKSWAGEN,1989,0.3333333333333333,75
VOLKSWAGEN,1990,0.3935483870967742,155
VOLKSWAGEN,1991,0.30638297872340425,235
VOLKSWAGEN,1992,0.2777777777777778,126
VOLKSWAGEN,1993,0.203125,64
VOLKSWAGEN,1994,0.2125984251968504,127
VOLKSWAGEN,1995,0.23255813953488372,301
VOLKSWAGEN,1996,0.2993377483443709,755
VOLKSWAGEN,1980,0.0,5
VOLKSWAGEN,1982,0.3333333333333333,18
VOLKSWAGEN,1984,0.2647058823529412,34
VOLKSWAGEN,1985,0.2972972972972973,37
VOLKSWAGEN,1986,0.40625,32
VOLKSWAGEN,1987,0.45,20
VOLKSWAGEN,1988,0.22580645161290322,31
VOLKSWAGEN,1968,0.0,1
VOLKSWAGEN,1974,1.0,1
VOLKSWAGEN,1975,0.5,2
VOLKSWAGEN,1962,0.0,1
